Name	Value
olive	32896
olivedrab	2330219
olivedrab1	4128704
olivedrab2	3862195
olivedrab3	3329434
olivedrab4	2263913
orange	33023
orange1	42495
orange2	39662
orange3	34253
orange4	23179
orangered	17919
orangered1	17919
orangered2	16622
orangered3	14285
orangered4	9611
orchid	14053594
orchid1	16417791
orchid2	15301358
orchid3	13199821
orchid4	8996747
palegoldenrod	11200750
palegreen	8454016
palegreen1	10157978
palegreen2	9498256
palegreen3	8179068
palegreen4	5540692
palegreen5	10025880
palepurple	12615808
paleturquoise	15658671
paleturquoise1	16777147
paleturquoise2	15658670
paleturquoise3	13487510
paleturquoise4	9145190
palevioletred	9662683
palevioletred1	11240191
palevioletred2	10451438
palevioletred3	9005261
palevioletred4	6113163
paleyellow	13697023
papayawhip	14020607
peachpuff	12180223
peachpuff1	12180223
peachpuff2	11389934
peachpuff3	9809869
peachpuff4	6649739
peru	4163021
pink	12615935
pink1	12957183
pink2	12102126
pink3	10392013
pink4	7103371
pink5	13353215
plum	4194368
plum1	16759807
plum2	15642350
plum3	13473485
plum4	9135755
plum5	14524637
powderblue	15130800
purple	8388736
purple1	16724123
purple2	15608977
purple3	13444733
purple4	9116245
purple5	15736992
red	255
red1	255
red2	238
red3	205
red4	139
redpurple	4194432
rosybrown	9408444
rosybrown1	12698111
rosybrown2	11842798
rosybrown3	10197965
rosybrown4	6908299
royalblue	10485760
royalblue1	16741960
royalblue2	15625795
royalblue3	13459258
royalblue4	9125927
royalblue5	14772545
saddlebrown	1262987
salmon	7504122
salmon1	6917375
salmon2	6456046
salmon3	5533901
salmon4	3755147
sandybrown	6333684
seagreen	5737262
seagreen1	10485588
seagreen2	9760334
seagreen3	8441155
seagreen4	5737262
seashell	15660543
seashell1	15660543
seashell2	14607854
seashell3	12568013
seashell4	8554123
sienna	2970272
sienna1	4686591
sienna2	4356590
sienna3	3762381
sienna4	2508683
skyblue	15453831
skyblue1	16764551
skyblue2	15646846
skyblue3	13477484
skyblue4	9138250
slate	12615680
slateblue	13458026
slateblue1	16740227
slateblue2	15624058
slateblue3	13457769
slateblue4	9124935
slategray	9470064
slategray1	16769734
slategray2	15651769
slategray3	13481631
slategray4	9141100
slategrey	9470064
snow	16448255
snow1	16448255
snow2	15329774
snow3	13224397
snow4	9013643
springgreen	8388352
springgreen1	8388352
springgreen2	7794176
springgreen3	6737152
springgreen4	4557568
steelblue	11829830
steelblue1	16758883
steelblue2	15641692
steelblue3	13472847
steelblue4	9135158
tan	4227200
tan1	5219839
tan2	4823790
tan3	4163021
tan4	2841227
tan5	9221330
teal	1421440
thistle	14204888
thistle1	16769535
thistle2	15651566
thistle3	13481421
thistle4	9141131
tomato	4678655
tomato1	4678655
tomato2	4349166
tomato3	3755981
tomato4	2504331
transparent	-2
turquoise	13688896
turquoise1	16774400
turquoise2	15656192
turquoise3	13485312
turquoise4	9143808
vb3ddkshadow	-2147483627
vb3dhighlight	-2147483628
vb3dlight	-2147483626
vbactiveborder	-2147483638
vbactivetitlebar	-2147483646
vbapplicationworkspace	-2147483636
vbbuttonface	-2147483633
vbbuttonshadow	-2147483632
vbbuttontext	-2147483630
vbdesktop	-2147483647
vbgraytext	-2147483631
vbhighlight	-2147483635
vbhighlighttext	-2147483634
vbinactiveborder	-2147483637
vbinactivecaptiontext	-2147483629
vbinactivetitlebar	-2147483645
vbinfobackground	-2147483624
vbinfotext	-2147483625
vbmenubar	-2147483644
vbmenutext	-2147483641
vbscrollbars	-2147483648
vbtitlebartext	-2147483639
vbwindowbackground	-2147483643
vbwindowframe	-2147483642
vbwindowtext	-2147483640
violet	15631086
violetred	9445584
violetred1	9846527
violetred2	9190126
violetred3	7877325
violetred4	5382795
wheat	11788021
wheat1	12249087
wheat2	11458798
wheat3	9878221
wheat4	6717067
white	16777215
whitesmoke	16119285
yellow	65535
yellow1	65535
yellow2	61166
yellow3	52685
yellow4	35723
yellowgreen	3329434
